Startup_ID,Industry,Founder_Experience,Team_Size,Funding_USD,Market_Size,AI_Adoption,Customer_Growth,Burn_Rate,Revenue,Investor_Support,Product_Innovation,Competition_Level,Success
ST076,HealthTech,5,23,449892,Large,High,23,77,1575122,Yes,8,Medium,0
ST077,FinTech,10,30,404965,Small,Medium,13,10,174085,Yes,5,Medium,0
ST078,FinTech,12,24,1662148,Large,Medium,39,65,194046,No,1,Low,0
ST079,EdTech,10,25,1596271,Small,Medium,60,13,1334691,Yes,7,High,1
ST080,E-commerce,2,5,589001,Large,Medium,24,18,1280069,No,6,Medium,0
ST081,EdTech,10,19,673705,Medium,Low,0,86,1699588,Yes,2,Low,0
ST082,FinTech,12,18,1965840,Medium,High,55,73,288307,Yes,8,Low,1
ST083,FinTech,7,22,1856156,Medium,Low,40,68,768872,Yes,10,High,1
ST084,HealthTech,13,6,1412196,Small,Medium,4,71,1168874,No,9,Low,0
ST085,E-commerce,2,15,252212,Medium,Low,53,73,1498498,Yes,8,Low,0
ST086,E-commerce,7,36,1826260,Medium,High,85,25,1645255,No,5,Medium,1
ST087,EdTech,8,14,971483,Small,High,31,33,524515,Yes,4,Medium,0
ST088,FinTech,8,17,1113936,Small,Low,67,39,1372395,No,2,Low,0
ST089,HealthTech,14,25,134644,Small,High,37,39,260015,Yes,1,High,0
ST090,AI,5,30,1314671,Medium,Low,33,10,231836,No,10,Low,0
ST091,HealthTech,6,18,130186,Medium,High,76,36,1718641,No,1,Medium,0
ST092,E-commerce,2,15,115990,Large,Medium,63,80,1023987,No,2,Low,0
ST093,HealthTech,2,12,884188,Medium,Low,89,44,869389,No,5,Medium,0
ST094,AI,13,28,88195,Small,Medium,46,35,829422,Yes,7,Low,0
ST095,EdTech,12,38,1901445,Large,Low,46,68,1631212,Yes,3,Low,0
ST096,AI,2,38,1354836,Large,Low,47,74,370050,No,3,Medium,0
ST097,EdTech,3,26,1078673,Large,Low,25,48,275605,No,1,Medium,0
ST098,EdTech,2,12,1392857,Large,Low,28,89,858265,Yes,10,Medium,0
ST099,HealthTech,5,26,803313,Small,High,15,29,528120,Yes,4,High,0
ST100,E-commerce,3,26,1307284,Small,High,58,80,1790502,No,5,Medium,0
ST101,EdTech,11,30,1106080,Medium,Low,56,32,59021,No,1,Medium,0
ST102,E-commerce,5,32,889578,Medium,Low,13,18,279391,No,6,Medium,0
ST103,FinTech,1,4,1384705,Medium,High,16,20,1548219,Yes,6,Low,0
ST104,FinTech,0,6,1337910,Large,Low,88,24,416233,No,3,Medium,0
ST105,EdTech,2,24,1330195,Medium,Low,32,30,689139,No,10,Medium,0
ST106,E-commerce,6,39,601273,Small,Low,78,74,507862,No,6,Low,0
ST107,EdTech,8,22,1927817,Large,Low,48,31,1671204,Yes,5,High,1
ST108,HealthTech,3,18,1173446,Large,Medium,80,60,1557536,No,6,Medium,0
ST109,SaaS,2,30,532444,Medium,Medium,22,88,1569431,No,1,High,0
ST110,FinTech,10,2,1616823,Medium,High,4,38,323240,No,5,Medium,0
ST111,HealthTech,15,16,1334546,Medium,Medium,83,15,56744,Yes,1,High,0
ST112,FinTech,7,28,1273878,Small,Medium,38,85,290445,No,4,High,0
ST113,SaaS,4,30,250916,Small,Low,8,28,1405597,No,5,Medium,0
ST114,SaaS,11,40,1403929,Small,Low,74,66,1272236,No,9,Low,1
ST115,FinTech,0,27,439352,Large,High,30,30,132430,Yes,2,High,0
ST116,AI,13,14,1136865,Small,Medium,77,74,1368108,Yes,7,High,0
ST117,AI,15,36,63315,Medium,High,48,65,1572771,Yes,8,High,0
ST118,E-commerce,8,16,1400607,Large,High,4,25,713628,Yes,5,Medium,0
ST119,FinTech,8,20,1396378,Large,Low,27,20,1074154,Yes,1,Medium,0
ST120,SaaS,10,14,1895839,Large,High,49,52,1270872,No,4,High,0
ST121,SaaS,15,32,1811002,Small,Medium,67,10,65609,Yes,7,High,0
ST122,FinTech,2,38,1960064,Small,High,21,28,79024,Yes,1,Low,0
ST123,SaaS,0,3,137345,Medium,High,17,15,1471731,Yes,2,Low,0
ST124,E-commerce,2,26,274638,Small,High,31,36,436058,Yes,2,Low,0
ST125,HealthTech,9,32,259457,Medium,Medium,16,22,1670875,No,4,Medium,0
ST126,EdTech,8,20,151519,Large,High,47,51,1623207,No,10,Medium,0
ST127,FinTech,0,29,1137629,Large,Low,12,54,993441,Yes,1,High,0
ST128,FinTech,13,2,1147975,Small,Medium,25,46,1608409,Yes,1,Medium,0
ST129,AI,15,39,778101,Small,High,65,43,1222169,No,3,Low,0
ST130,E-commerce,2,33,1702375,Medium,Low,89,81,1660318,No,2,Medium,0
ST131,EdTech,2,29,1913212,Large,Medium,82,13,790035,No,4,Medium,0
ST132,EdTech,7,31,316087,Medium,High,68,86,1592250,Yes,10,Medium,0
ST133,FinTech,10,12,1021310,Large,Medium,56,42,1224607,Yes,4,Medium,0
ST134,FinTech,6,19,682307,Large,Medium,90,89,334207,Yes,3,High,0
ST135,E-commerce,7,22,446935,Small,Low,33,23,355194,Yes,2,Medium,0
ST136,EdTech,9,29,624243,Medium,Medium,25,23,1347942,No,2,Low,0
ST137,E-commerce,13,16,1099596,Large,High,80,47,981567,Yes,1,Medium,0
ST138,E-commerce,7,29,1520443,Large,High,73,85,1580976,Yes,7,High,0
ST139,FinTech,7,13,1395404,Small,High,15,68,917078,No,6,High,0
ST140,FinTech,12,12,574415,Large,High,54,71,964612,No,1,High,0
ST141,AI,10,2,865180,Small,High,62,23,89996,Yes,5,Low,1
ST142,E-commerce,14,36,479878,Medium,High,60,75,43777,No,6,Medium,0
ST143,AI,5,27,1127500,Medium,Medium,15,88,755480,No,1,Medium,0
ST144,SaaS,13,28,1368195,Large,Medium,89,55,1226715,Yes,5,Low,0
ST145,FinTech,7,27,1019128,Large,High,27,31,281160,Yes,2,Medium,0
ST146,E-commerce,11,28,1031678,Medium,Low,37,80,1372325,No,3,Medium,0
ST147,EdTech,8,29,1473585,Medium,High,23,71,15651,No,5,Low,0
ST148,FinTech,13,7,1432577,Medium,High,46,29,645790,Yes,7,Low,1
ST149,FinTech,11,39,81427,Small,High,84,11,449876,No,2,Medium,0
ST150,AI,5,30,776545,Large,High,19,36,854070,Yes,9,High,0
